trade,entry_ts,equity_before,pnl_usd,equity_after
5598,1642959540.0,920157013799.31,619738243.42,920776752042.72
5599,1642961340.0,920776752042.72,2115586151.38,922892338194.11
5600,1642966380.0,922892338194.11,18552997726.9,941445335921.0
5601,1642966560.0,941445335921.0,8977134620.24,950422470541.25
5602,1642971420.0,950422470541.25,14567764929.07,964990235470.32
5603,1642974660.0,964990235470.32,7825772092.22,972816007562.53
5604,1642990500.0,972816007562.53,2310054044.1,975126061606.63
5605,1642993020.0,975126061606.63,7019198670.96,982145260277.59
5606,1642995360.0,982145260277.59,34626398823.79,1016771659101.38
5607,1643003460.0,1016771659101.38,6736800119.8,1023508459221.18
5608,1643004540.0,1023508459221.18,-7185780199.83,1016322679021.35
5609,1643011740.0,1016322679021.35,-3317520766.4,1013005158254.95
5610,1643012280.0,1013005158254.95,2904341093.97,1015909499348.92
5611,1643016960.0,1015909499348.92,-3288868980.92,1012620630368.0
5612,1643018040.0,1012620630368.0,4908133462.95,1017528763830.95
5613,1643018400.0,1017528763830.95,34777397004.59,1052306160835.55
5614,1643018580.0,1052306160835.55,12024059774.89,1064330220610.44
5615,1643020020.0,1064330220610.44,-7103837219.07,1057226383391.37
5616,1643021460.0,1057226383391.37,10991529318.21,1068217912709.57
5617,1643027580.0,1068217912709.57,37777255632.76,1105995168342.33
5618,1643073300.0,1105995168342.33,12216956885.71,1118212125228.04
5619,1643083560.0,1118212125228.04,6754322803.05,1124966448031.09
5620,1643086080.0,1124966448031.09,-7439176651.33,1117527271379.76
5621,1643091480.0,1117527271379.76,-3355614735.7,1114171656644.05
5622,1643092020.0,1114171656644.05,2988709293.4,1117160365937.45
5623,1643092020.0,1117160365937.45,-3292478576.0,1113867887361.45
5624,1643092560.0,1113867887361.45,2939845854.28,1116807733215.72
5625,1643096880.0,1116807733215.72,-3318284510.19,1113489448705.53
5626,1643097420.0,1113489448705.53,-3139597205.89,1110349851499.65
5627,1643143140.0,1110349851499.65,-7009208615.16,1103340642884.49
5628,1643149800.0,1103340642884.49,34837901429.04,1138178544313.53
5629,1643162400.0,1138178544313.53,-3339837592.34,1134838706721.19
5630,1643169240.0,1134838706721.19,-7547565997.94,1127291140723.25
5631,1643169960.0,1127291140723.25,2909746514.42,1130200887237.67
5632,1643171040.0,1130200887237.67,7294672979.88,1137495560217.55
5633,1643175720.0,1137495560217.55,2727127824.17,1140222688041.72
5634,1643181480.0,1140222688041.72,215227193.67,1140437915235.39
5635,1643184900.0,1140437915235.39,-3267994918.29,1137169920317.1
5636,1643192640.0,1137169920317.1,9135594354.51,1146305514671.61
5637,1643193540.0,1146305514671.61,14641073301.47,1160946587973.08
5638,1643195520.0,1160946587973.08,17910817426.49,1178857405399.57
5639,1643196060.0,1178857405399.57,-7629530704.71,1171227874694.86
5640,1643204880.0,1171227874694.86,3262795116.72,1174490669811.58
